"Package Name","Installation Instruction","Released Date","Short Description",Author,Maintainer
"todotree 3.0.0","pip install todotree
          
            
            Copy PIP instructions","Released: 
  Aug 5, 2024","todo.txt manager which adds tree printing",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/81b40afc7167344ac57c691c15440173c67ca5e4/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66363065366662303231633530323363316338643735383733636462623965313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for chim1aap from gravatar.com"" title=""Avatar for chim1aap from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            chim1aap
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/81b40afc7167344ac57c691c15440173c67ca5e4/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66363065366662303231633530323363316338643735383733636462623965313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for chim1aap from gravatar.com"" title=""Avatar for chim1aap from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            chim1aap
          </span>
        "
,,,,,
"todo-txt-tui 0.2.7","pip install todo-txt-tui
          
            
            Copy PIP instructions","Released: 
  Dec 10, 2023","A powerful, keyboard-driven terminal application for managing todo.txt files.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/e5afc9fb45645312402ee4011aa9e58070866807/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f63666561653737356131616364373665333138646334353735346637353638633f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for mdillon from gravatar.com"" title=""Avatar for mdillon from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            mdillon
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/e5afc9fb45645312402ee4011aa9e58070866807/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f63666561653737356131616364373665333138646334353735346637353638633f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for mdillon from gravatar.com"" title=""Avatar for mdillon from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            mdillon
          </span>
        "
"toepoch 1.0.0","pip install toepoch
          
            
            Copy PIP instructions","Released: 
  Jul 20, 2014","This module take two arguments date (format: yyyy/mm/dd) and time (format: hh:mm:ss) and converts them into epoch (milliseconds).",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7830c7480ebf813f397df3f771e511e9d973b51c/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34313138393464373939363365353866313066633761303962326662303937303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for malenoir from gravatar.com"" title=""Avatar for malenoir from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            malenoir
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7830c7480ebf813f397df3f771e511e9d973b51c/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34313138393464373939363365353866313066633761303962326662303937303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for malenoir from gravatar.com"" title=""Avatar for malenoir from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            malenoir
          </span>
        "
"tofipa 0.4.4","pip install tofipa
          
            
            Copy PIP instructions","Released: 
  Nov 20, 2022","Get download directory from torrent file",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/049816aeae966ed1ab207026a5b2c17330776a42/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f35343933333161333563626431323266346535373435346534376533393832333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for plotski from gravatar.com"" title=""Avatar for plotski from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            plotski
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/049816aeae966ed1ab207026a5b2c17330776a42/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f35343933333161333563626431323266346535373435346534376533393832333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for plotski from gravatar.com"" title=""Avatar for plotski from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            plotski
          </span>
        "
"toggl2pl 1.0.6","pip install toggl2pl
          
            
            Copy PIP instructions","Released: 
  Mar 23, 2020","Python module and tool to simplify time entries export from Toggl into Project Laboratory",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/13b500478cd341056fda7a5ab119c4b9307fd953/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30646663393663353664353563653366373233323232393638373764346464663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for pa-yourserveradmin-com from gravatar.com"" title=""Avatar for pa-yourserveradmin-com from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            pa-yourserveradmin-com
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/13b500478cd341056fda7a5ab119c4b9307fd953/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30646663393663353664353563653366373233323232393638373764346464663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for pa-yourserveradmin-com from gravatar.com"" title=""Avatar for pa-yourserveradmin-com from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            pa-yourserveradmin-com
          </span>
        "
"toggler 0.3.0","pip install toggler
          
            
            Copy PIP instructions","Released: 
  Jul 10, 2024","Feature Flags Manager",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/bdde6edf12fe62648967055e83c9e7f4d4c97ea4/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34623430326433303132613930373462323736373431663735363130613963613f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for andriusl from gravatar.com"" title=""Avatar for andriusl from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            andriusl
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/bdde6edf12fe62648967055e83c9e7f4d4c97ea4/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f34623430326433303132613930373462323736373431663735363130613963613f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for andriusl from gravatar.com"" title=""Avatar for andriusl from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            andriusl
          </span>
        "
"toggl-fetch 1.0.1","pip install toggl-fetch
          
            
            Copy PIP instructions","Released: 
  Apr 1, 2016","Fetch summary reports from Toggl.com, with automatic date range calculation.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/914ef4c3c901dd47d26dce34bf7926a55f08e2c1/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31353334353634396236363435643131303262373165333139356139356237663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Tblue from gravatar.com"" title=""Avatar for Tblue from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Tblue
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/914ef4c3c901dd47d26dce34bf7926a55f08e2c1/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31353334353634396236363435643131303262373165333139356139356237663f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Tblue from gravatar.com"" title=""Avatar for Tblue from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Tblue
          </span>
        "
,,,,,
"toggl-reporter 0.0.3","pip install toggl-reporter
          
            
            Copy PIP instructions","Released: 
  Nov 27, 2020","A tool to build daily reports from Toggle with nice grouping",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/eeac2dcbb3dcfc6dbc52fe7c4e70d5e91620dcf0/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65363536613333623765623863613438373661653536633938326533353732643f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for senior_sigan from gravatar.com"" title=""Avatar for senior_sigan from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            senior_sigan
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/eeac2dcbb3dcfc6dbc52fe7c4e70d5e91620dcf0/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65363536613333623765623863613438373661653536633938326533353732643f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for senior_sigan from gravatar.com"" title=""Avatar for senior_sigan from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            senior_sigan
          </span>
        "
"togglreports 2.5.1","pip install togglreports
          
            
            Copy PIP instructions","Released: 
  May 7, 2024","A simple project to automate the creation of reports using the Toggl API.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/c693155a159a4dce515ff3b275ca38760665ddf8/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f35376566663061623735353031376564663431643264633133313337613933383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for r.m from gravatar.com"" title=""Avatar for r.m from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            r.m
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/c693155a159a4dce515ff3b275ca38760665ddf8/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f35376566663061623735353031376564663431643264633133313337613933383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for r.m from gravatar.com"" title=""Avatar for r.m from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            r.m
          </span>
        "
